Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tabla 4.3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Precio medio del metro cuadrado de suelo urbano en municipios de entre 5.000 y 10.000 habitantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unidad: euros/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Año 2004,,,,Año 2005,,,,Año 2006,,,,Año 2007,,,,Año 2008,,,,Año 2009,,,,Año 2010,,,,Año 2011,,,,Año 2012,,,,Año 2013,,,,Año 2014,,,,Año 2015,,,,Año 2016,,,,Año 2017,,,,Año 2018,,,,Año 2019,,,,Año 2020,,,,Año 2021,,,,Año 2022,,,Variación  Trimestral,Variación  Interanual
,, (trimestre),,,, (trimestre),,,, (trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,
,,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,,
,TOTAL NACIONAL,131.32,130.35,145.01,146.27,156.41,158.35,178.77,168.26,155.95,161.08,166.41,199.45,205.19,196.54,209.15,204.12,200.04,191.92,198.43,191.35,200.7,203.3,186.16,196.32,189.08,189.51,175.38,208.2,231.81,162.01,151.61,162.35,166.99,169.13,134.64,127.43,163.67,135.6,129.48,107.11,101.4,104.35,123.6,119.37,124.65,102.85,110.63,105.49,116.2,118.18,112.82,108.54,121.44,113.47,126.29,115.56,125.07,112.23,108.56,111.19,116.97,127.09,134.81,117.49,130.27,111.98,117.95,123.61,136.38,123.65,117.7,121,141.04,133.64,142.17,6.4,20.8
,Andalucía,101.65,112.3,135.62,111.48,120.44,139.17,169.47,167.52,134.16,131.73,142.54,214.04,206.34,180.79,188.9,194.04,172.05,182.07,183.9,167.77,170.3,174,178.89,180.62,172.24,161.66,178.24,184.08,159.56,169.63,151.73,171.23,184.12,128.47,122.39,97.52,124.34,140.21,194.04,79.44,100.19,124.41,110.01,127.36,124.94,120.14,98.86,97.25,109.15,120.51,106.43,109.72,128.11,125.95,98.32,101.21,110.48,110.63,101.82,117.51,119.55,122.47,122.22,125.77,110.79,104.54,123.98,117.95,132.3,117.55,120.95,122.62,110.85,107.19,92.76,-13.5,-23.3
,Almería           ,122.93,226.95,259.77,234.38,208.4,290.33,341.9,267.18,267.05,218.79,298.54,210.56,278.13,264.76,272.97,286.56,251.94,207.06,224.6,269.13,240.7,186,229.33,177.52,174.87,221.23,255.93,177.73,131.41,189.67,135.54,182.19,180.9,158.34,n.s.,47.92,n.s.,92.66,71.21,179.73,58.72,92.71,95.08,99.71,n.s.,n.s.,n.s.,86.27,n.s.,117.77,83.49,80.08,n.s.,114.09,n.s.,n.s.,n.s.,60.1,n.s.,123.82,73.38,n.s.,98.5,115.11,n.s.,59.67,n.s.,118.44,126.93,141.51,136.04,121.6,217.09,65.56,70.72,7.9,-48
,Cádiz             ,71.52,69.34,89.63,74.2,87.27,89.84,99.93,108.25,110.92,146.51,124.31,n.s.,199.31,172.17,n.s.,187.93,197.31,170.02,183.3,144.75,147.1,121.7,165.04,150.24,186.76,175.84,116.96,172.8,192.57,204.04,145.85,222.19,119.05,92.97,76.69,n.s.,191.36,139.28,98.23,77.95,n.s.,124.71,n.s.,n.s.,97.15,86.22,n.s.,142.23,137.61,229.95,87.23,169.04,125.41,101.81,136.24,121.13,104.66,139.18,134.46,142.83,142.24,126.06,133.94,118.01,141.47,154.89,109.27,87.41,155.95,137.26,n.s.,141.41,206.31,135.38,n.s.,.,.
,Córdoba           ,34.66,131.85,100.38,128.02,77.88,143.21,122.25,106.91,135.03,125.49,135.4,140.82,191.06,161.09,184.01,145.41,153.38,142.64,148.26,148.6,124.1,120.6,144.36,165.67,166.25,148.5,176.57,134.7,87.23,143.62,118.31,159.46,101.62,146.67,163.68,151.19,142.56,161.45,151.26,136.81,144.73,149.23,125.98,159.79,167.65,115.56,102.64,121.77,130.09,123.42,99.59,116.53,144.36,153.17,126.78,103.73,111.34,97.35,83.88,119.61,97.9,94.91,113.5,117.4,131.62,119.42,116.27,114.55,129.24,88.5,111.04,123.06,128.84,134.09,124.47,-7.2,12.1
,Granada           ,103.64,107.5,119.16,99.59,136.32,147.02,175.24,182.91,124.03,111.08,183.85,n.s.,228.6,226.69,212.49,237.7,223.51,192.31,222.75,187.11,181.2,170.2,234.78,186.71,219.21,193.06,142.43,151.41,256.06,156.22,176.02,161.94,199.02,180.34,147.65,139.36,116.89,158.67,166.72,83.36,125.02,100.77,112.22,105.38,147.67,118.78,101.05,101.18,115.13,103.38,115.9,118.78,136.4,129.94,75.27,96.38,146.4,98.5,107.08,95.14,119.31,129.81,150.93,143.87,144.75,86.05,101.95,107.9,88.04,129.27,118.22,116.26,115.54,109.99,76.38,-30.6,-35.4
