,,Año 2004,,,,Año 2005,,,,Año 2006,,,,Año 2007,,,,Año 2008,,,,Año 2009,,,,Año 2010,,,,Año 2011,,,,Año 2012,,,,Año 2013,,,,Año 2014,,,,Año 2015,,,,Año 2016,,,,Año 2017,,,,Año 2018,,,,Año 2019,,,,Año 2020,,,,Año 2021,,,,Año 2022,,,Variación  Trimestral,Variación  Interanual
,, (trimestre),,,, (trimestre),,,, (trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,
,,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,4º,1º,2º,3º,,
,Coruña (A),66.14,60.43,71.53,75.86,77.6,80.08,77.05,68.96,73.07,79.11,86.21,n.s.,n.s.,115.25,120.42,120.98,121.57,108.64,139.49,120.39,130.9,137.1,87.11,81.26,64.3,28.62,60.05,75.13,47.83,63.05,40.23,81.28,58.99,61.7,90.41,63.04,29.24,27.32,58.45,88.67,43.18,25.9,40.09,23.92,28.61,50.86,58.08,47.75,n.s.,36.23,45.88,42,71.8,42.47,62.18,67.98,61.57,n.s.,31.24,68.69,31.44,81.84,85.1,73.63,n.s.,66.02,39.11,79.47,109.04,84.03,48.77,84.68,13.47,31.48,26.84,-14.7,-45
,Lugo,157.92,146.62,94.42,66.39,125.68,173.62,165.99,n.s.,129.83,139.2,156.19,107.47,139.08,144.04,n.s.,98,124.44,n.s.,162.21,124.53,127,109.6,69.15,102.48,70.54,82.2,25.37,n.s.,n.s.,n.s.,n.s.,n.s.,.,n.s.,n.s.,.,.,n.s.,n.s.,n.s.,n.s.,n.s.,77.98,.,37.07,72.21,n.s.,n.s.,.,.,23.79,n.s.,n.s.,43.18,n.s.,.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,.,n.s.,n.s.,54.23,4.5,n.s.,n.s.,31.03,73.71,.,.,.
,Ourense,87.6,55.59,96.88,n.s.,n.s,n.s.,89.41,69.77,93.43,n.s.,74.9,97.49,102.23,126.9,127.43,146.07,181.86,106.11,119.11,162.78,147.1,138.3,179.78,175.25,72.91,146.5,141.84,n.s.,n.s.,50.59,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,22.15,n.s.,.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,24.1,n.s.,n.s.,n.s,38.05,n.s.,38.63,21.18,24.21,n.s.,n.s.,n.s.,n.s.,71.35,n.s.,n.s.,n.s.,n.s.,64.94,62.25,69.5,23.72,n.s.,177.95,23.88,-86.6,-65.6
,Pontevedra,164.33,90.82,248.64,220.95,.,265.56,352.36,n.s.,n.s.,n.s.,n.s.,241.06,192.4,141.1,155.12,142.23,118.43,n.s.,115.85,n.s.,n.s.,n.s.,85.46,157.98,89.68,63.35,49.81,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,84.44,n.s.,65.18,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s,n.s.,n.s.,56.12,14.48,n.s.,n.s.,.,n.s.,n.s.,n.s.,.,n.s.,n.s.,n.s.,85.2,28.89,n.s.,n.s.,n.s.,48.57,n.s.,.,.
,Madrid (Comunidad de),95.02,139.74,128.49,174.78,162.76,155.19,151.62,95.51,152.65,161.68,177.89,216.66,235.86,253.73,343.72,248.4,305.81,255.43,275.26,290.7,317,324.9,309.42,289.63,286.75,259.58,343.5,310.87,225.79,252.18,189.21,127.14,126.6,260.88,113.93,310.5,309.85,311.56,52.31,115.09,107.79,167.37,169.44,118.03,139.28,111.52,147.25,n.s.,161.22,136.12,127.21,145.06,164.54,100.9,152.48,191.38,128.94,128.14,144.32,110.42,126.2,157.04,177.51,140.24,175.5,86.8,128.52,128.52,270.6,141.33,140.46,141.75,209.57,204.56,213.1,4.2,51.7
,Murcia (Región de),156.89,122.76,136.11,167.84,185.66,100.31,124.25,128.06,95.55,117.77,124.05,195.39,221.31,227.73,187.6,215.49,219.98,n.s.,n.s.,166.12,208.5,203.7,152.9,155.4,129.41,252.1,194.84,105.1,111.97,30.88,n.s.,116.03,n.s.,n.s.,138.66,128.24,n.s.,113.79,147.38,119.3,.,n.s.,56.23,108.62,n.s.,n.s.,n.s.,136.33,n.s.,78.2,132.92,n.s.,n.s.,n.s,n.s.,74.87,135.68,75.51,80.72,70.17,126.85,n.s.,136.58,100.2,65.19,.,93.14,80.16,124.18,46.48,72.41,66.94,106.69,103.87,68.34,-34.2,-5.6
,Navarra (Comunidad Foral de),257.73,212.03,96.31,124.3,182.97,197.02,n.s.,158.35,118.65,160.29,159.05,133.85,n.s.,201.03,202.16,209.61,213.97,184.72,194.42,203.33,200.2,211,116.7,137.18,296.36,261.42,n.s.,177.25,n.s.,195.46,146.52,165.03,295.68,109.41,169.73,202,84.1,269.45,n.s.,137.08,115.61,108.58,32.64,201.16,161.07,188.34,n.s.,86.5,144.55,100.47,121.38,134.02,161.46,150.39,123.32,165.94,206.54,134.4,n.s.,173.14,151.38,n.s.,n.s.,137.07,n.s.,n.s.,140.41,95.67,109.97,210.91,139.7,165.22,125.64,181.29,128.57,-29.1,-8
,País Vasco,180.96,207.42,132.83,182.11,192.71,251.42,216.89,224.83,203.71,192.72,232.46,203.11,233.84,244.12,241.87,231.08,244.16,220.48,n.s,282.45,228.79,250.6,323.52,270.2,224.27,276.07,282.35,358.39,260.19,175.05,347.45,318.73,275.5,n.s.,325.87,180.8,n.s.,132.06,n.s.,215.1,n.s.,.,65.16,134.22,291.8,179.53,202.95,214.88,87.33,279.46,n.s.,96.57,71.96,294.1,319.86,174.32,160.55,n.s.,104.72,n.s.,226.89,322.39,n.s.,489.8,179.63,n.s.,447.73,178.13,191.08,217.56,289.88,329.13,218.65,2.11,94.66,4386.3,-67.3
,Álava,87.83,n.s.,n.s.,64.48,54.72,n.s.,n.s.,55.06,.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,155,.,n.s.,n.s.,n.s.,.,n.s.,.,n.s.,n.s.,.,.,n.s.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,164.37,.,.,.,.,.,.,.,.
,Guipúzcoa,96.43,n.s.,119.19,161.47,211.19,171.45,128.55,169.21,n.s.,n.s.,199.05,196.88,324.05,223.75,n.s.,n.s.,259.89,.,.,290.82,245.3,260.4,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,343.66,265.62,.,n.s.,n.s.,n.s.,n.s.,.,.,.,n.s.,.,.,n.s.,.,n.s.,n.s.,n.s.,n.s.,.,n.s.,n.s.,n.s.,n.s,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,.,n.s.,.,.,.,n.s.,210.16,9.79,n.s.,n.s.,122.69,.,n.s.,.,.
