TERRITORIO Y MEDIO AMBIENTE. TERRITORIO. SECCIONADO CENSAL. TABLAS DE SECCION. TABLAS CON LITERAL DE DISTRITO Y BARRIO,Unnamed: 1,Unnamed: 2
,,
1. División administrativa vigente desde 1 de junio de 2022,,
,,Total de Secciones
Distrito/Barrio,Secciones censales,en el Distrito
,,
  12.7 Pradolongo,De 86 a 94 y 96 a 97,
,,
13. PUENTE DE VALLECAS,,174
  13.1 Entrevías,"De 2 a 8, 10 a 14, 16 a 19, 21 a 24, 26 y 28 a 35",
  13.2 San Diego,"De 36 a 50 y 52 a 63, 65 a 66 y 69",
  13.3 Palomeras Bajas,"74, 77 a 80, 83 a 84, 86 a 92, 94, 103 a 104, 203 a 210 y 213",
  13.4 Palomeras Sureste,"De 108 a 112, 115 a 125, 127 a 129, 131 a 140, 199, 211, 215 y 216",
  13.5 Portazgo,"De 142 a 148, 150, 153 a 158, 160 a 164, 198, 200 y 214",
  13.6 Numancia,"166, 168 a 187, 189 a 197, 201 a 202, 212 y 217",
,,
14. MORATALAZ,,84
  14.1 Pavones,"De 2 a 6, 79, 88 y 92",
  14.2 Horcajo,De 89 a 91 y 93,
  14.3 Marroquina,"10, 12 a 18, 20 a 22, 24 a 29, 80, 81, 85 a 87 y 94 a 95",
  14.4 Media Legua,De 30 a 42 y 82 a 84,
  14.5 Fontarrón,De 43 a 59,
  14.6 Vinateros,"De 60 a 65, 67, 69 a 73 y 75 a 77",
,,
15. CIUDAD LINEAL,,168
  15.1 Ventas,"De 1 a 3, 5 a 6, 8 a 43",
  15.2 Pueblo Nuevo,"De 44 a 54, 56 a 62, 65 a 71, 73 a 90, 177, 179 y 181",
  15.3 Quintana,"De 92 a 103, 105 a 106 y 108 a 113",
  15.4 La Concepción,De 114 a 131,
  15.5 San Pascual,"De 132 a 136, 138, 140 a 144 y 146 a 147",
  15.6 San Juan Bautista,"De 148 a 151, 153, 174 a 175, 178 y 180",
  15.7 Colina,De 154 a 158,
  15.8 Atalaya,159,
  15.9 Costillares,"De 160 a 168, 170 a 173, 176 y 182",
,,
16. HORTALEZA,,123
  16.1 Palomas,"De 1 a 2, 105 y 121",
  16.2 Piovera,"De 3 a 5, 102 a 104 y 113",
  16.3 Canillas,"De 6 a 9, 11 a 22, 24 a 35, 98, 100 y 101",
  16.4 Pinar del Rey,"De 36 a 40, 42 a 46, 48 a 55, 57 a 61, 63 a 67, 69 a 71, 73 a 78 y 97",
  16.5 Apóstol Santiago,"De 79 a 83, 85 a 90",
