;;Año 2004;;;;Año 2005;;;;Año 2006;;;;Año 2007;;;;Año 2008;;;;Año 2009;;;;Año 2010;;;;Año 2011;;;;Año 2012;;;;Año 2013;;;;Año 2014;;;;Año 2015;;;;Año 2016;;;;Año 2017;;;;Año 2018;;;;Año 2019;;;;Año 2020;;;;Año 2021;;;;Año 2022;;;Variación  Trimestral;Variación  Interanual
;; (trimestre);;;; (trimestre);;;; (trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;(trimestre);;;;
;;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;4º;1º;2º;3º;;
;Cádiz             ;114.32;.;95.34;.;.;40.99;.;.;n.s.;.;79.37;n.s.;n.s.;n.s.;.;n.s.;.;.;n.s.;.;.;.;.;n.s.;.;n.s.;.;.;n.s.;.;n.s.;.;n.s.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;n.s.;.;.;.;.;.;.;.;.;.;.;n.s;.;99.89;n.s.;.;n.s.;n.s.;.;.;.;254.24;.;.;.
;Córdoba           ;.;39.54;.;n.s.;44.13;.;.;41.18;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;.;n.s.;59.9;92.5;92.12;110.53;107.6;79.8;.;n.s.;n.s.;n.s.;.;n.s.;n.s.;n.s.;n.s.;n.s;.;.;.;n.s.;.;n.s.;n.s;.;.;n.s.;n.s.;.;.;n.s.;77.51;.;.;n.s.;.;.;n.s.;n.s.;n.s.;.;n.s.;.;n.s.;.;.;n.s.;.;.;.;n.s;n.s.;n.s.;.;n.s.;.;.;n.s.;.;n.s.;.;.
;Granada           ;62.63;33.55;39.43;52.67;55.09;72.24;63.9;62.47;64.15;75.3;n.s.;66.67;57.22;64.92;82.83;n.s.;n.s.;n.s.;n.s.;73.53;70.1;93.9;117.9;n.s.;68.65;n.s.;107.98;76.17;48.18;68.1;53.94;81.08;70.77;78.39;70.49;n.s.;n.s.;66.76;55.88;31.72;n.s.;n.s.;39.71;n.s.;52.15;29.4;17.54;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;39.99;60.94;86.66;59.73;n.s.;46.29;29.88;n.s.;n.s.;57.52;46.04;n.s.;n.s;51.83;63.15;57.91;26.86;33.39;47.68;60.54;172.04;61.63;-64.2;84.6
;Huelva            ;61.42;29.22;63.04;45.54;.;68.59;47.07;.;.;n.s.;n.s.;68.84;n.s.;n.s.;.;n.s.;84.96;102.79;n.s.;n.s.;65.3;90.8;75;n.s.;n.s.;n.s.;.;n.s.;.;n.s.;n.s.;n.s;.;.;.;.;n.s.;.;n.s;.;.;.;101.13;n.s.;.;.;n.s.;.;.;.;.;.;n.s.;n.s.;n.s.;.;.;.;.;n.s.;.;.;.;166.37;.;n.s;n.s.;n.s.;n.s.;n.s.;.;.;.;3.17;n.s.;.;.
;Jaén              ;.;10.86;16.38;28.64;.;.;19.77;15.03;.;.;.;n.s.;35.44;22.45;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;69.3;33.6;.;44.73;89.2;n.s.;53.46;54.52;33.2;n.s.;n.s.;n.s;n.s.;.;n.s.;n.s.;n.s.;65.69;n.s;n.s.;.;n.s.;n.s.;n.s.;n.s.;.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;.;n.s.;52.67;n.s.;n.s.;n.s.;n.s.;54.48;.;.;n.s.;n.s;n.s.;.;.;n.s.;n.s.;n.s.;n.s.;n.s;n.s.;.;n.s.;.;.
;Málaga            ;.;n.s.;.;64.51;.;.;.;.;.;n.s.;n.s.;.;.;n.s.;36.99;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;.;.;n.s.;n.s.;n.s.;n.s.;.;.;n.s.;n.s.;n.s;n.s.;n.s.;.;n.s.;n.s.;.;n.s;.;n.s.;n.s.;.;n.s.;n.s.;.;.;.;.;n.s.;n.s.;.;.;n.s.;.;.;.;.;n.s.;.;.;.;n.s.;.;.;.;.;n.s.;.;n.s.;.;.;n.s.;.;n.s.;.;.
;Sevilla           ;n.s.;21.67;15;.;.;n.s.;31.58;n.s.;n.s.;n.s.;.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;.;n.s.;n.s.;.;.;77.56;.;n.s.;.;n.s.;n.s.;.;36.2;n.s.;n.s;n.s.;n.s.;n.s.;n.s.;.;n.s.;n.s;n.s.;n.s.;.;n.s.;.;.;n.s.;n.s.;n.s.;.;n.s.;.;n.s.;.;.;.;n.s.;n.s.;n.s.;n.s.;.;n.s.;n.s.;n.s.;.;.;.;.;n.s.;n.s.;n.s.;n.s.;.;n.s.;17.92;.;.;.
;Aragón;92.26;72.23;104.24;71.97;106.34;82.65;95.6;81.73;92.34;82.97;87.99;83.58;81.16;95.99;90.17;71.69;81.46;71.97;82.45;64.3;75.3;71.3;97.11;139.76;94.03;90.59;91.11;79.49;95.63;122.23;64.84;66.86;85.19;56.37;63.91;81.32;66.15;47.39;71.42;58.72;63.4;67.89;61.39;53.44;40.14;60.95;50.91;57.52;63.66;86.27;82.11;81.31;36.04;44.33;76.47;72.93;66.66;61.82;52.29;64.57;64.36;51.64;62.53;71.25;71.19;44.36;71.51;56.93;55.36;68.41;63.39;72.94;69.38;68.05;61.46;-9.7;-3
;Huesca            ;165.54;110.17;140.43;77.29;134.79;127.65;141.1;60.46;99.41;92.63;99.76;78.2;95.64;121.65;147.46;75.38;78.03;109.68;83.37;66.08;66.3;75.7;121.52;188.8;59.95;116.14;110.31;103.17;128.57;208.83;62.69;57.8;93.56;58.82;71.68;84.91;60.26;64.13;71.04;68.08;73.7;69.18;72.83;66.85;50.11;67.93;39.77;55.73;71.61;97.44;84.3;78.69;29.09;59.23;84.61;79.28;86.5;60.24;84.44;81.26;73.1;n.s.;73.28;69.78;n.s.;32.4;77.2;79.68;65.67;71.21;83.94;78.54;89.29;86.24;84.61;-1.9;0.8
;Teruel            ;29.78;33.27;32.74;61.8;38.8;42.69;45.12;85.31;73.84;n.s.;82.24;99.64;91.03;88.55;77.35;87.58;87.78;60.34;87.18;72.63;73.6;75.8;54.71;120.62;118.91;58.64;72.43;91.06;86.16;31.85;77.1;37.31;78.2;39.89;40.91;87.61;66.6;42.48;75.86;61.48;n.s.;65.4;51.61;26.83;n.s.;56.82;58.36;57.34;67.18;n.s.;n.s.;n.s.;n.s.;11.36;n.s.;80.59;66.28;44.63;70.84;73.63;54.45;n.s.;32.85;n.s;n.s.;n.s;32.83;43;48.9;66.02;48.44;47.18;59.41;57.7;61.96;7.4;27.9
;Zaragoza          ;31.44;53.87;83.83;64.05;56.23;56.39;72.98;85.29;89.05;70.04;78.49;80.31;73.07;56.63;69.88;54.1;74.63;n.s.;74.17;58.24;86.7;68.9;63.41;71.15;99.11;136.75;67.22;58.79;80.81;70.43;55.01;91.32;74.95;64.41;82.91;n.s.;83.38;33.6;n.s.;16.65;45.35;40.12;39.21;54.81;33.84;52.3;54.16;58.86;n.s.;52.74;n.s.;70.89;49.5;35.51;64.38;50.61;n.s.;66.18;24.03;33.24;29.66;19.86;n.s.;64.88;n.s.;50.19;64.99;33.7;33.49;60.1;38.24;73.06;35.85;36.59;31.14;-14.9;-18.6
;Asturias (Principado de );.;.;.;.;.;.;.;.;.;n.s.;n.s.;n.s.;.;.;.;n.s.;.;.;.;.;.;.;.;.;.;.;46.51;n.s.;77.69;.;n.s.;n.s;.;.;159.45;n.s.;.;.;.;n.s.;.;.;.;39.59;.;.;n.s.;.;n.s.;.;.;.;.;n.s.;.;n.s.;.;.;10.49;.;.;.;.;.;.;.;n.s.;n.s.;.;n.s.;103.48;105.56;68.17;98.15;100.73;2.6;-2.7
;Balears (Illes);59.02;63;34.94;55.24;n.s.;62.45;.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;.;n.s.;n.s.;n.s.;.;.;n.s.;n.s.;.;.;.;n.s.;n.s.;n.s.;.;.;.;.;.;.;.;.;n.s;n.s.;n.s.;.;.;.;.;.;n.s.;.;n.s.;n.s.;n.s.;n.s.;.;n.s.;.;.;.;.;n.s.;.;n.s.;.;n.s.;n.s;.;n.s;n.s.;n.s.;.;n.s.;n.s.;.;n.s.;.;n.s.;.;.
;Canarias;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;n.s.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;n.s.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Palmas (Las)      ;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;n.s.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;n.s.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Santa Cruz de Tenerife;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Cantabria;124.54;58.92;70.64;41.27;107.49;47.16;42.43;47.01;58.8;65.57;n.s.;64.18;78.68;63.56;44.6;47.98;62.38;87.02;n.s.;n.s.;55.1;47.9;80.44;103.51;n.s.;33.39;n.s.;n.s.;n.s.;n.s.;n.s.;n.s;.;n.s.;.;n.s.;.;n.s.;n.s;n.s.;n.s.;.;n.s.;.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;n.s.;.;n.s.;.;n.s.;n.s.;n.s.;n.s.;.;n.s.;.;n.s.;n.s;n.s.;.;n.s.;93.68;.;n.s;n.s.;.;n.s.;.;.
;Castilla y León;34.22;44.45;42.89;45.33;43.13;42.16;49.45;47.01;48.89;49.81;57.4;55.76;48.71;51.92;47.43;46;70.45;60.76;68.75;56.93;50;54.9;46.32;61.74;48.31;67.66;51.43;49.83;51.3;37.82;45.6;32.14;30.11;38.11;30.15;37.46;34.52;42.96;39.67;30.17;34.61;40.97;31.69;30.72;32.58;33.67;29.35;35.79;31.66;31.96;28.85;27.42;27.96;33.27;41.62;34;33.64;32.7;35.64;36.3;34.63;31.86;37.35;42.5;40.2;44.97;27.43;35.42;30.58;31.86;40.87;42.13;43.58;51.15;50.06;-2.1;22.5
;Avila             ;20.55;22.91;38.01;22.59;34.24;29.03;45.39;26.03;32.71;31.15;43.15;50.04;36.85;56.17;n.s.;48.63;63.62;59.45;71.96;50.5;51.7;62.1;51.23;70;43.83;72.03;60.89;55;54.33;31.17;43.36;51.41;75.49;19.46;42.39;52.05;23.13;71.84;52.02;53.19;16.82;24.66;27.37;39.55;41.91;14.34;51.57;45.83;30.91;18.29;42.9;25.86;26.96;37.06;40.8;49.14;22.11;43.15;55.59;55.17;33.05;25.07;44.58;35.24;54.06;n.s;29.97;34.95;23.26;38.95;27.91;33.06;40.89;60.94;54.28;-10.9;94.5
;Burgos            ;53.53;104.83;51.26;97.65;69.87;73.02;91.12;94.52;80.93;77.95;97.6;71.85;59.78;58.25;64.23;59.25;75.97;58.36;43.2;61.86;50.2;52.9;43.84;61.56;49.16;62.75;57.98;44.16;122.1;28.74;40.92;36.55;32.82;37.43;47.9;28.52;49.28;69.88;55.56;25.29;58.06;34.25;35.72;31.22;25.48;38.71;31.08;41.94;25.99;42;40.74;31.01;33.97;48.1;45.54;61.03;47.26;14.41;37.7;42.27;37.72;43.03;47.43;94.46;29.76;36.53;34.12;40.24;26.58;29.21;43.82;48.06;52.81;47.15;57.3;21.5;30.8
;León              ;39.81;19.42;14.14;29.09;17.66;31.8;28.87;22.06;20.36;25.06;27.74;39.55;34.05;21.32;41.48;22.72;24.87;18.29;21.16;29.93;27.7;28.6;20.68;24.38;38.58;14.29;14.25;10.84;21.95;15.52;19.62;18.89;16.82;20.35;16.16;11.95;15.7;17.06;34.09;17.15;11.34;11.68;17.68;22.5;21.31;9.99;21.09;10.99;19.54;17.33;12.83;18.48;12.89;9.53;11.69;15.41;16.38;29.12;17.17;12.43;23.87;9.57;20.69;15.66;14.93;29.87;29.74;21.77;13.45;34.65;23.69;26.24;24.33;57.51;11.01;-80.9;-53.5
;Palencia          ;42.47;19.66;25.49;33.39;38.13;31.7;22.69;49.92;40.07;40.04;24.5;25.92;24.47;32.11;48.26;40.27;81.49;45.75;55.56;30.12;53.3;25.4;53.79;43.25;30.57;29.3;28.16;41.34;16.38;40.28;27.49;17.28;5.34;20.49;14.47;32.28;27.35;9.87;41.1;11.83;n.s.;n.s.;22.67;25.9;17.85;26.33;20.1;25.01;31.09;23.19;41.56;22.71;22.28;31.91;22.74;36.61;26.54;34.38;37.69;21.75;n.s.;11.01;25.96;24.07;n.s.;41.01;31.26;19.86;25.29;20.94;19.95;30.82;19.51;41.55;37.62;-9.5;88.6
;Salamanca         ;28.68;53.6;79.25;47.62;55.44;65.22;50.36;45.56;54.97;48.96;57.96;79.86;55.22;67.83;49.87;57.99;88.96;92.47;73.57;55.19;89.8;95.5;44.81;117.73;74.36;124.3;87;106.3;80.77;89.01;82.82;42.9;39.26;52.86;41.17;63.29;n.s.;58.64;32.37;39.91;51.14;77.16;34.18;37.58;21.45;33.72;32.26;38.73;45.26;29.41;26.54;28.94;41.41;28.65;41.47;26.5;35.17;28.24;37.06;35.47;26.6;27.41;34.03;32.66;39.53;73.49;31.32;33.52;30.76;28.78;46.1;49.9;58.5;58.79;50.77;-13.6;10.1
;Segovia           ;35.34;33.85;42.77;33.67;33.53;34.97;49.15;36.63;45;50.76;53.2;43.5;49.23;56.69;67.24;56.34;66.07;66.51;93.55;93.35;54.9;57.1;73.19;59.2;46.08;82.97;43.78;44.32;45.48;51.35;46.18;34.06;58.76;68.26;27.83;42.42;51.99;41.96;49.94;39.87;42.07;60.11;45.17;31.1;45.31;55.3;42.88;32.83;32.61;53.62;53.29;37.87;42.36;53.89;76.12;32.11;27.48;77.55;49.92;40.94;34.7;61.37;43.45;53.71;64.39;46.8;37.78;45.62;44.7;34.33;68;53.71;50.59;56.66;78.01;37.7;14.7
;Soria             ;23.79;27.1;49.65;35.69;28.86;52.42;30.5;51.91;45.52;n.s.;n.s.;64.79;60.15;49.2;n.s.;50.94;46.28;44.3;45.26;44.74;54.1;46.6;41.84;45.54;55.71;53.98;62.75;40.39;59.16;60.35;49.87;33.65;n.s.;64.36;26.41;38.37;14.59;n.s.;31.99;n.s.;n.s.;60.13;n.s.;38.65;57.72;40.3;24.76;53.05;45.65;21.11;12.4;35.54;n.s.;n.s.;24.5;34.58;n.s.;n.s.;38.44;n.s.;56.92;n.s.;35.69;29.09;n.s.;.;40.81;45.22;n.s.;45.03;52.57;44.74;52.64;42.51;68.44;61;30.2
;Valladolid        ;55.2;45.83;28.32;34.2;33.83;37.75;25.43;40.12;35.27;n.s.;37.98;40.08;40.12;45.08;38.42;47.7;49.07;55.29;62.28;55.72;52.6;49;67.19;63.21;33.37;25.37;52.75;27.21;18.8;35.26;50.86;30.32;n.s.;33;38.22;15.38;n.s.;33.29;40.76;6.88;28.58;.;44.13;34.03;n.s.;53.98;34.41;23.52;37.92;n.s.;18.52;28.31;34.36;26.62;43.33;38.59;n.s.;32.27;41.42;52.26;35.64;n.s.;37.77;28.36;n.s.;12.89;28.43;41.27;51.36;33.94;26.15;36.15;42.63;73.28;41.18;-43.8;57.5
;Zamora            ;23.1;20.28;26.47;32.36;38.67;34.49;32.54;32.98;48.9;n.s.;34.07;n.s.;38.91;45.35;32.31;35.55;48.15;29.12;35.79;27.34;28;21.7;39.24;34.95;40;14.24;29.55;37.67;30.12;18.36;14.06;22.12;17.5;55.4;20.12;41.59;22.16;31.02;33.23;51.19;28.94;27.39;24.13;17.38;n.s.;25.72;15.57;15.38;n.s.;20.6;16.64;14.97;9.59;21.97;33.33;20.48;47.42;10.3;23.43;27.37;18.24;26.94;16.74;43.39;n.s.;n.s;13.87;32.89;21.96;28.6;31.38;34.11;12.21;19.53;17.21;-11.9;-45.2
;Castilla-La Mancha;36.55;45.2;34.2;40.64;49.7;72.25;58.45;51.73;49.81;59.09;67.02;63.57;74.01;68.67;68.48;78.9;93.7;71.42;77.29;68.21;74.4;82.2;72.13;91.59;92.79;105.93;100.77;101.74;88.17;57.93;42.28;72.79;212.04;64.8;53.12;87.9;37.47;74.6;38.16;45.15;41.04;35.53;43.86;38.05;47.38;53.19;47.72;52.21;44.91;56.11;46.02;38.15;39.93;40.73;51.93;45.28;44.22;29.32;44.63;36.27;37.4;46.4;43.9;47.97;53.63;37.66;44.28;45.45;36.9;41.52;35.34;70.55;58.36;80.01;64.74;-19.1;83.2
;Albacete          ;17.51;37.5;16.05;25.03;27.03;42.49;59.92;31.78;51.44;n.s.;37.63;85.2;39.17;47.31;53.4;39.95;45.72;44.86;51.95;57.06;52.2;54.5;n.s.;51.87;50;56.78;43.93;91.64;23.37;n.s.;22.77;79.6;80.76;n.s.;n.s.;n.s.;15.68;n.s.;n.s;n.s.;n.s.;n.s.;n.s.;32.16;n.s.;.;n.s.;n.s.;n.s.;n.s.;50.14;n.s.;n.s.;.;n.s.;30.25;.;n.s.;n.s.;44.98;n.s.;.;n.s.;n.s;.;n.s;n.s.;n.s.;42.51;32.05;n.s.;n.s;n.s.;51.16;n.s.;.;.
